,count,year,author1,author2
0,8,2022,88/6919,99/235
0,2,2003,88/6919,91/3454
0,2,2006,88/6919,91/3454
0,2,2009,88/6919,91/3454
0,4,2015,88/6919,91/3454
0,6,2016,88/6919,91/3454
0,4,2017,88/6919,91/3454
0,3,2018,88/6919,91/3454
0,18,2020,88/6919,91/3454
0,8,2021,88/6919,91/3454
0,8,2022,88/6919,91/3454
0,7,2019,88/6919,09/4945-1
0,22,2020,88/6919,09/4945-1
0,8,2021,88/6919,09/4945-1
0,8,2022,88/6919,09/4945-1
0,2,2021,88/6919,299/1264
0,2,2022,88/6919,299/1264
0,2,2021,88/6919,07/4580
0,3,2021,88/6919,22/11237
0,3,2021,88/6919,23/8654
0,2,2006,88/6919,c/BrianCurless
0,2,2008,88/6919,c/BrianCurless
0,2,2012,88/6919,c/BrianCurless
0,2,2007,88/6919,k/IraKemelmacher
0,18,2020,88/6919,147/2810
0,2,2009,88/6919,d/PaulEDebevec
0,10,2019,88/6919,d/PaulEDebevec
0,18,2020,88/6919,d/PaulEDebevec
0,6,2020,88/6919,86/6650
0,2,2018,43/7940,a/DavidGAndersen
0,2,2019,43/7940,a/DavidGAndersen
0,2,2016,43/7940,24/4470
0,16,2014,43/7940,147/4905
0,8,2020,43/7940,147/4905
0,28,2013,43/7940,119/1493
0,20,2014,43/7940,119/1493
0,5,2015,43/7940,119/1493
0,5,2016,43/7940,119/1493
0,8,2020,43/7940,119/1493
0,10,2013,43/7940,68/3832
0,16,2014,43/7940,68/3832
0,5,2015,43/7940,68/3832
0,8,2020,43/7940,68/3832
0,7,2012,43/7940,71/9421
0,14,2013,43/7940,71/9421
0,20,2014,43/7940,71/9421
0,5,2016,43/7940,71/9421
0,8,2020,43/7940,71/9421
0,16,2014,43/7940,139/0736
0,8,2020,43/7940,139/0736
0,13,2012,43/7940,56/1688
0,33,2013,43/7940,56/1688
0,27,2014,43/7940,56/1688
0,5,2015,43/7940,56/1688
0,8,2016,43/7940,56/1688
0,8,2020,43/7940,56/1688
0,16,2012,43/7940,56/953
0,37,2013,43/7940,56/953
0,27,2014,43/7940,56/953
0,5,2015,43/7940,56/953
0,8,2016,43/7940,56/953
0,8,2020,43/7940,56/953
0,18,2020,43/7940,187/8653
0,18,2020,43/7940,16/8758
0,4,2016,43/7940,56/9834
0,4,2017,43/7940,56/9834
0,12,2018,43/7940,56/9834
0,2,2019,43/7940,56/9834
0,18,2020,43/7940,56/9834
0,18,2020,43/7940,166/1409
0,18,2020,43/7940,198/1298
0,18,2020,43/7940,180/5419
